name|title|year|rank|releasedate|agg_genres
Streep, Meryl|Doubt (2008/I)|2008|7.5 |2008-12-25|Drama;Mystery
Banderas, Antonio|Original Sin (2001)|2001|6.0 |2001-08-03|Drama;Mystery;Romance;Thriller
Aiello, Danny|Do the Right Thing (1989)|1989|7.9 |1989-07-21|Drama
Lee, Christopher (I)|Dark Places (1973)|1973|5.7 |1974-05-01|Horror;Thriller
Heston, Charlton (I)|The Omega Man (1971)|1971|6.6 |1971-08-01|Action;Sci-Fi;Thriller
Carell, Steve|Get Smart (2008)|2008|6.5 |2008-06-20|Action;Adventure;Comedy;Romance;Thriller
Jovovich, Milla|Return to the Blue Lagoon (1991)|1991|5.0 |1991-08-02|Adventure;Drama;Romance
Russell, Kurt (I)|Soldier (1998/I)|1998|5.9 |1998-10-23|Action;Drama;Sci-Fi
Wilson, Luke (I)|Old School (2003)|2003|7.2 |2003-02-21|Comedy
Reynolds, Burt (I)|Stick (1985)|1985|5.4 |1985-04-26|Action;Crime;Drama;Thriller
Hawn, Goldie|The Banger Sisters (2002)|2002|5.6 |2002-09-20|Comedy;Drama
Willis, Bruce|The Fifth Element (1997)|1997|7.6 |1997-05-09|Action;Adventure;Sci-Fi
Pryor, Richard|The Toy (1982)|1982|5.7 |1982-12-10|Comedy
Carell, Steve|Crazy, Stupid, Love. (2011)|2011|7.4 |2011-07-29|Comedy;Drama;Romance
Depardieu, Gérard|Sous le soleil de Satan (1987)|1987|6.9 |1989-02-10|Drama
Conway, Tim (I)|They Went That-A-Way & That-A-Way (1978)|1978|5.0 |1978-12-01|Comedy
Neeson, Liam|Unknown (2011/I)|2011|6.9 |2011-02-18|Action;Mystery;Thriller
Bale, Christian|Equilibrium (2002)|2002|7.5 |2002/12/06|Action;Drama;Sci-Fi;Thriller
Chase, Chevy|Man of the House (1995)|1995|4.9 |1995/03/03|Comedy
Shatner, William|The Captains (2011)|2011|7.0 |2011/07/22|Documentary
Martin, Steve (I)|The Man with Two Brains (1983)|1983|6.3 |1983/06/03|Comedy;Romance;Sci-Fi
Takashima, Tadao|Furankenshutain tai chitei kaijû Baragon (1965)|1965|4.8 |1966/07/08|Horror;Sci-Fi
Culkin, Macaulay|The Good Son (1993)|1993|6.3 |1993/09/24|Drama;Thriller
Chong, Billy|Zhu zai xie lei (1979)|1979|6.2 |1980/06/01|Action;Drama;Western
Norris, Chuck|Firewalker (1986)|1986|4.9 |1986/11/21|Action;Adventure;Comedy
Bullock, Sandra|Miss Congeniality (2000)|2000|6.1 |2000/12/22|Action;Comedy;Crime
Johnson, Dwayne (I)|San Andreas (2015)|2015|6.5 |2015/05/29|Action;Drama;Thriller
Douglas, Michael (I)|Wonder Boys (2000)|2000|7.4 |2000/02/25|Comedy;Drama
Caan, James (I)|North Star (1996)|1996|4.8 |1996/10/25|Action;Adventure;Crime;Drama;Western
Vaughn, Vince|Fred Claus (2007)|2007|5.6 |2007/11/09|Comedy;Family;Fantasy
Keaton, Michael|Clean and Sober (1988)|1988|6.7 |1988/08/10|Drama
Fox, Michael J. (I)|Life with Mikey (1993)|1993|5.5 |1993/06/04|Comedy;Family
Bateman, Jason|The Switch (2010/I)|2010|6.1 |2010/08/20|Comedy;Drama;Romance
